val_next_loss,val_presence_loss,val_event_loss,val_loss,epoch,step,train_loss
0.29660269618034363,0.14378097653388977,0.3039326071739197,0.7443162798881531,0,16,
,,,,1,16,1.014503002166748
0.3264615535736084,0.13689813017845154,0.29712459444999695,0.7604843378067017,1,33,
,,,,2,33,0.9691575169563293
0.2806379795074463,0.12281271815299988,0.3225586712360382,0.7260093688964844,2,50,
,,,,3,50,0.8940653800964355
0.2476046085357666,0.09985356032848358,0.23105265200138092,0.5785108804702759,3,67,
,,,,4,67,0.7544904351234436
0.23028245568275452,0.0874403789639473,0.19378897547721863,0.5115118026733398,4,84,
,,,,5,84,0.7235970497131348
0.20633380115032196,0.081117644906044,0.21918007731437683,0.5066315531730652,5,101,
,,,,6,101,0.6283177733421326
0.21603162586688995,0.0788845643401146,0.22919544577598572,0.5241116285324097,6,118,
,,,,7,118,0.5939533114433289
0.19881802797317505,0.07715480029582977,0.1972464621067047,0.47321927547454834,7,135,
,,,,8,135,0.6090310215950012
0.1903972029685974,0.07602667808532715,0.21314631402492523,0.479570209980011,8,152,
,,,,9,152,0.60445237159729
0.20383158326148987,0.07843844592571259,0.19291189312934875,0.47518190741539,9,169,
,,,,10,169,0.6335029602050781
0.19878578186035156,0.07531634718179703,0.18466687202453613,0.4587689936161041,10,186,
,,,,11,186,0.5934295654296875
0.19285848736763,0.07566390186548233,0.17690591514110565,0.4454282522201538,11,203,
,,,,12,203,0.5661815404891968
0.20223848521709442,0.07613616436719894,0.28473830223083496,0.5631129741668701,12,220,
,,,,13,220,0.5750448703765869
0.19170522689819336,0.07609278708696365,0.1868916153907776,0.4546896815299988,13,237,
,,,,14,237,0.6019392609596252
0.2057235985994339,0.07531055808067322,0.18214522302150726,0.46317940950393677,14,254,
,,,,15,254,0.569387674331665
0.18596763908863068,0.07596810907125473,0.21487903594970703,0.47681480646133423,15,271,
,,,,16,271,0.5496301054954529
0.17839357256889343,0.07777361571788788,0.266690194606781,0.5228573679924011,16,288,
,,,,17,288,0.551946759223938
0.16952702403068542,0.0774855762720108,0.31320449709892273,0.5602170825004578,17,305,
,,,,18,305,0.5788289308547974
0.18978747725486755,0.07697157561779022,0.20783266425132751,0.4745917320251465,18,322,
,,,,19,322,0.5219159126281738
0.2509397566318512,0.07498132437467575,0.1841120421886444,0.510033130645752,19,339,
,,,,20,339,0.522686243057251
0.16181226074695587,0.07453523576259613,0.19570626318454742,0.43205374479293823,20,356,
,,,,21,356,0.5316956639289856
0.1932545304298401,0.07559772580862045,0.1973157525062561,0.46616798639297485,21,373,
,,,,22,373,0.5189499258995056
0.18979474902153015,0.07618582248687744,0.17326095700263977,0.43924152851104736,22,390,
,,,,23,390,0.5495624542236328
0.1607085019350052,0.07371089607477188,0.2126670479774475,0.4470864534378052,23,407,
,,,,24,407,0.550647497177124
0.18039903044700623,0.07299458980560303,0.1887677162885666,0.44216132164001465,24,424,
,,,,25,424,0.5017161965370178
0.1738562136888504,0.0741482824087143,0.22682824730873108,0.4748327434062958,25,441,
,,,,26,441,0.505611777305603
0.16036605834960938,0.0727723240852356,0.1891326755285263,0.4222710430622101,26,458,
,,,,27,458,0.5239659547805786
0.16611957550048828,0.07682130485773087,0.15358823537826538,0.39652910828590393,27,475,
,,,,28,475,0.5144169926643372
0.148607537150383,0.07236221432685852,0.16497884690761566,0.3859485983848572,28,492,
,,,,29,492,0.5299573540687561
0.16026489436626434,0.07032079249620438,0.2687264084815979,0.49931207299232483,29,509,
,,,,30,509,0.49436962604522705
0.14309477806091309,0.07143107056617737,0.15439361333847046,0.3689194619655609,30,526,
,,,,31,526,0.4709037244319916
0.16195780038833618,0.06945932656526566,0.15829211473464966,0.3897092044353485,31,543,
,,,,32,543,0.47199535369873047
0.18720528483390808,0.07057036459445953,0.1787322759628296,0.4365079402923584,32,560,
,,,,33,560,0.4823380708694458
0.15296804904937744,0.06918284296989441,0.1732671707868576,0.39541804790496826,33,577,
,,,,34,577,0.5214483737945557
0.1612776517868042,0.0695735365152359,0.1700863540172577,0.400937557220459,34,594,
,,,,35,594,0.4893312454223633
0.1719708889722824,0.06753799319267273,0.16621336340904236,0.4057222306728363,35,611,
,,,,36,611,0.4677693545818329
0.15379062294960022,0.06802260130643845,0.1690313071012497,0.39084455370903015,36,16,
,,,,37,16,0.48513099551200867
0.14663228392601013,0.06790745258331299,0.16969189047813416,0.3842316269874573,37,33,
,,,,38,33,0.47231966257095337
0.16445302963256836,0.06608390808105469,0.16814926266670227,0.3986862003803253,38,50,
,,,,39,50,0.5295590758323669
0.1696154624223709,0.06692399829626083,0.16296738386154175,0.3995068371295929,39,67,
,,,,40,67,0.4633428454399109
0.15573276579380035,0.06673222035169601,0.17034952342510223,0.3928144872188568,40,84,
,,,,41,84,0.46285897493362427
0.14909933507442474,0.06604919582605362,0.1532972902059555,0.36844581365585327,41,101,
,,,,42,101,0.46521294116973877
0.15170881152153015,0.06636356562376022,0.15722543001174927,0.37529778480529785,42,118,
,,,,43,118,0.4530300796031952
0.15875253081321716,0.0652225986123085,0.1567414104938507,0.3807165324687958,43,135,
,,,,44,135,0.478550523519516
0.14711624383926392,0.06734558194875717,0.14514824748039246,0.35961008071899414,44,152,
,,,,45,152,0.4662901759147644
0.14543862640857697,0.06620489060878754,0.15608815848827362,0.3677316904067993,45,169,
,,,,46,169,0.47615891695022583
0.15057308971881866,0.06817065179347992,0.15358489751815796,0.37232863903045654,46,186,
,,,,47,186,0.495562344789505
0.14756552875041962,0.0669504925608635,0.16026130318641663,0.37477728724479675,47,203,
