val_ap,val_auroc,val_loss,epoch,step,train_loss,train_auroc,train_ap
0.1664564311504364,0.5487066507339478,0.710076319737823,0,16,,,
,,,1,16,0.6814972804694226,0.6027342677116394,0.20272430777549744
0.19945767521858215,0.6100226640701294,0.6784721369298675,1,33,,,
,,,2,33,0.6739212279893412,0.61374831199646,0.21722948551177979
0.2669418752193451,0.6782277226448059,0.6451779710968254,2,50,,,
,,,3,50,0.6493368967074663,0.6655898690223694,0.2549268305301666
0.3269670009613037,0.7282018661499023,0.6161158271563164,3,67,,,
,,,4,67,0.6277148163323456,0.7011321783065796,0.2870582342147827
0.39157265424728394,0.768213152885437,0.5867439577005663,4,84,,,
,,,5,84,0.5980791478566237,0.7538565397262573,0.3454965353012085
0.43046286702156067,0.7962576746940613,0.564033781669144,5,101,,,
,,,6,101,0.5713267813496323,0.7885630130767822,0.382162868976593
0.4563754200935364,0.8116271495819092,0.5506816790623404,6,118,,,
,,,7,118,0.5434856356553692,0.8172221183776855,0.42975252866744995
0.4699801802635193,0.8216053247451782,0.5459953697159436,7,135,,,
,,,8,135,0.5202005552001961,0.8368680477142334,0.46097689867019653
0.5001853704452515,0.8318642973899841,0.5283627104403352,8,152,,,
,,,9,152,0.5126362608692963,0.8403759002685547,0.4815380871295929
0.5061948299407959,0.8394440412521362,0.5289972958628661,9,169,,,
,,,10,169,0.507986395150046,0.8458311557769775,0.48905253410339355
0.48599618673324585,0.835644006729126,0.5179501921678844,10,186,,,
,,,11,186,0.503603495476594,0.8520461320877075,0.5085736513137817
0.47091174125671387,0.8419613242149353,0.5274054407468569,11,203,,,
,,,12,203,0.49472790355379614,0.8563997745513916,0.5128068327903748
0.5111145973205566,0.8461053371429443,0.5293944088389223,12,220,,,
,,,13,220,0.49327369253136755,0.8590003848075867,0.5198136568069458
0.5045225620269775,0.8492324352264404,0.5244602435617275,13,237,,,
,,,14,237,0.4891002374591643,0.8607561588287354,0.5273070931434631
0.5074163675308228,0.8500293493270874,0.5401547534482761,14,254,,,
,,,15,254,0.4832571655529833,0.8643272519111633,0.5330463647842407
0.5206318497657776,0.8512816429138184,0.542365930119187,15,271,,,
,,,16,271,0.4901443431978587,0.8604333400726318,0.5333148241043091
0.523207426071167,0.8479750156402588,0.5363020705617675,16,288,,,
,,,17,288,0.48438882484729423,0.8631961345672607,0.5361572504043579
0.5214220285415649,0.8527566194534302,0.5154378923655415,17,305,,,
,,,18,305,0.4834979075370617,0.8632946014404297,0.530694842338562
0.537745475769043,0.8517320156097412,0.5065479450243172,18,322,,,
,,,19,322,0.47093016211513494,0.8718743324279785,0.5558435916900635
0.5329700708389282,0.8546642065048218,0.5126304313414543,19,339,,,
,,,20,339,0.4711229774748291,0.8721907734870911,0.5354413986206055
0.5450128316879272,0.8547603487968445,0.5189403509054035,20,356,,,
,,,21,356,0.4734328294490626,0.8701341152191162,0.5525611639022827
0.5194910168647766,0.852506160736084,0.5536291854655453,21,373,,,
,,,22,373,0.4760995134445866,0.8680784702301025,0.5292922258377075
0.5301791429519653,0.8533334732055664,0.509605991855907,22,390,,,
,,,23,390,0.4754511473378237,0.8691374063491821,0.5443543195724487
0.5401530265808105,0.8508186340332031,0.5179147865817837,23,407,,,
,,,24,407,0.47054939575720917,0.8684732913970947,0.5480820536613464
0.5451195240020752,0.8533587455749512,0.515665758631054,24,424,,,
,,,25,424,0.4653659032524065,0.8744109869003296,0.562005877494812
0.548115611076355,0.8561670184135437,0.5230502647162933,25,441,,,
,,,26,441,0.46462131070031026,0.8745958805084229,0.5601557493209839
0.5372608304023743,0.8466392159461975,0.5196164892798338,26,458,,,
,,,27,458,0.462296996086938,0.8766216039657593,0.5629316568374634
0.5524545907974243,0.851628303527832,0.5038131728561049,27,475,,,
,,,28,475,0.4609579716794222,0.8735820651054382,0.5553857088088989
0.5328389406204224,0.8545630574226379,0.5033532763326649,28,492,,,
,,,29,492,0.45649203180539955,0.8768323659896851,0.5566707849502563
0.5452673435211182,0.8551955223083496,0.5261264275911259,29,509,,,
,,,30,509,0.45866980283068803,0.8764934539794922,0.5538132190704346
0.5491647124290466,0.8517117500305176,0.6844276750439353,30,526,,,
,,,31,526,0.4627216195104409,0.8704514503479004,0.5550917387008667
0.5482610464096069,0.8511248230934143,0.5460051598615056,31,543,,,
,,,32,543,0.4585363797180887,0.8748027682304382,0.5528935194015503
0.5484922528266907,0.8464267253875732,0.5897257492562081,32,560,,,
,,,33,560,0.4530435285819968,0.8776128888130188,0.5583902597427368
0.5407731533050537,0.8582112193107605,0.5264321874888604,33,577,,,
,,,34,577,0.45120569223874607,0.8763214349746704,0.5592432022094727
0.5681195259094238,0.856250524520874,0.5305834795097035,34,594,,,
,,,35,594,0.44435385222993584,0.8802774548530579,0.5759596228599548
0.5681010484695435,0.8487263917922974,0.5095719726977439,35,611,,,
,,,36,611,0.44067024019677636,0.8820669054985046,0.5766172409057617
0.5631871223449707,0.8529564738273621,0.4924553424215885,36,628,,,
,,,37,628,0.4422315569897288,0.88148033618927,0.5733860731124878
0.5493174195289612,0.854833722114563,0.5429289746011055,37,645,,,
