val_ap,val_auroc,val_loss,epoch,step,train_loss,train_auroc,train_ap
0.1710662841796875,0.5445095300674438,0.6899356472070914,0,16,,,
,,,1,16,0.7188539231002313,0.5224781632423401,0.16132760047912598
0.20278027653694153,0.609749436378479,0.6720853287300246,1,33,,,
,,,2,33,0.7087219416768795,0.5516762733459473,0.17537090182304382
0.2638505697250366,0.6942752003669739,0.6302861742810839,2,50,,,
,,,3,50,0.6758900408498975,0.6157980561256409,0.22058574855327606
0.3267422616481781,0.7553432583808899,0.5869394663512295,3,67,,,
,,,4,67,0.6445630959449219,0.6785231232643127,0.2609682083129883
0.39005327224731445,0.7956758141517639,0.5567623741343122,4,84,,,
,,,5,84,0.6009988992834423,0.748601496219635,0.3208197355270386
0.430002361536026,0.8138357996940613,0.5453651744426491,5,101,,,
,,,6,101,0.5609440684828958,0.7955302000045776,0.38888615369796753
0.4567217528820038,0.8276290893554688,0.5379573209726352,6,118,,,
,,,7,118,0.5410810551496494,0.8148029446601868,0.4299519658088684
0.46799278259277344,0.8322310447692871,0.534965307807967,7,135,,,
,,,8,135,0.5253846640125229,0.8300351500511169,0.46337890625
0.48898205161094666,0.8407621383666992,0.5210217167832195,8,152,,,
,,,9,152,0.5141678867120009,0.8389909267425537,0.48239272832870483
0.5000502467155457,0.8424268364906311,0.526487134203466,9,169,,,
,,,10,169,0.5111666427943486,0.8430877923965454,0.49250030517578125
0.509455680847168,0.8469934463500977,0.5200392120730855,10,186,,,
,,,11,186,0.5037905515632465,0.8497029542922974,0.5058908462524414
0.5089631080627441,0.8482558727264404,0.5229607448785067,11,203,,,
,,,12,203,0.493425434680048,0.8571531772613525,0.5194126963615417
0.5173521041870117,0.8483089804649353,0.5265347761821879,12,220,,,
,,,13,220,0.489085687566966,0.8604954481124878,0.5418692827224731
0.52873295545578,0.8518787622451782,0.5219072658198849,13,237,,,
,,,14,237,0.47961607121964994,0.8669177293777466,0.5480998754501343
0.5228176712989807,0.8480079174041748,0.5238641118284024,14,254,,,
,,,15,254,0.47534462146937945,0.869518518447876,0.5591872930526733
0.5276268720626831,0.8548438549041748,0.5455216055115718,15,271,,,
,,,16,271,0.4812171289119231,0.8670719861984253,0.5577172040939331
0.531632125377655,0.8508313894271851,0.5173673193814655,16,288,,,
,,,17,288,0.47492957491746485,0.8707492351531982,0.5549241304397583
0.5400760173797607,0.8554004430770874,0.5038065913940921,17,305,,,
,,,18,305,0.46806619179001746,0.874922513961792,0.5589311122894287
0.5474332571029663,0.8518079519271851,0.5181862376584782,18,322,,,
,,,19,322,0.46034839031239655,0.8788652420043945,0.5833951830863953
0.5511844158172607,0.852847695350647,0.5090791696236272,19,339,,,
,,,20,339,0.4610273120948205,0.877472460269928,0.5722112655639648
0.5491642355918884,0.8554712533950806,0.5058612997474614,20,356,,,
,,,21,356,0.4586036919230245,0.8801319003105164,0.593672513961792
0.5588353872299194,0.8549678325653076,0.5057845061441087,21,373,,,
,,,22,373,0.4577290799108068,0.8801479339599609,0.5725837349891663
0.557686448097229,0.8562226891517639,0.49196330502182684,22,390,,,
,,,23,390,0.45147105138913757,0.8853898048400879,0.5986425876617432
0.5501030683517456,0.8487061858177185,0.5124967959776303,23,407,,,
,,,24,407,0.44645930406259143,0.8863532543182373,0.5981996059417725
0.5460343360900879,0.8541936278343201,0.49153964895927027,24,424,,,
,,,25,424,0.4470785861117322,0.8872543573379517,0.5978903770446777
0.5465655326843262,0.8583149909973145,0.48880885235677385,25,441,,,
,,,26,441,0.442891229478208,0.8892413377761841,0.6086063981056213
0.5366129279136658,0.851775050163269,0.512020463631261,26,458,,,
,,,27,458,0.4360453003286263,0.8934100270271301,0.6234381198883057
0.5317309498786926,0.8468846082687378,0.509970225608789,27,475,,,
,,,28,475,0.4301442944972135,0.8972376585006714,0.6158465147018433
0.5440630912780762,0.8512032628059387,0.4995140464801816,28,492,,,
,,,29,492,0.42774256745932904,0.8969607353210449,0.6145093441009521
0.5448253154754639,0.8494094610214233,0.5011934504342255,29,509,,,
,,,30,509,0.4284365407416181,0.8978381156921387,0.6249530911445618
0.554136335849762,0.8489693403244019,0.5065998925683115,30,526,,,
,,,31,526,0.4239859012053222,0.8988316655158997,0.6334273219108582
0.5566336512565613,0.8471249938011169,0.5202327193473995,31,543,,,
,,,32,543,0.4214848936052422,0.9024847149848938,0.639236569404602
0.550847053527832,0.8447999358177185,0.5170016801254657,32,560,,,
,,,33,560,0.4252927745945769,0.8983340263366699,0.6282386779785156
0.5213214159011841,0.8366129994392395,0.5345612533102065,33,577,,,
,,,34,577,0.4208771017216037,0.8984853029251099,0.6296709775924683
0.5344334840774536,0.8399398922920227,0.5557615582561679,34,594,,,
,,,35,594,0.41507625767927525,0.9007989764213562,0.6391979455947876
0.5340875387191772,0.8388469219207764,0.5435326943255254,35,611,,,
,,,36,611,0.4109168974873451,0.9031327962875366,0.6538209915161133
0.5383456945419312,0.8446987271308899,0.5209310584304693,36,628,,,
,,,37,628,0.4065063565014178,0.907192587852478,0.657584547996521
0.5277772545814514,0.8396084308624268,0.5478695074000974,37,645,,,
,,,38,645,0.4041324537843805,0.9085253477096558,0.6536358594894409
0.5021772384643555,0.835709810256958,0.5401686509824508,38,662,,,
,,,39,662,0.40079468524230344,0.9093990325927734,0.6643853783607483
0.5350856781005859,0.8446329832077026,0.5442924789405419,39,679,,,
,,,40,679,0.38957537855214464,0.9149805903434753,0.6759260296821594
0.5395182371139526,0.8440940380096436,0.5401530414429787,40,696,,,
,,,41,696,0.3910735947678204,0.913211464881897,0.6748564839363098
0.5614767074584961,0.8523138761520386,0.543277295377894,41,713,,,
,,,42,713,0.3906608266934262,0.9134011268615723,0.6705868244171143
0.5138714909553528,0.8439928889274597,0.5495857896553558,42,730,,,
,,,43,730,0.38874329335252467,0.9133046269416809,0.6725085377693176
0.5541839599609375,0.8467504978179932,0.5312341651498066,43,747,,,
,,,44,747,0.37424405791736015,0.9218637943267822,0.6881700158119202
0.5136831998825073,0.8420549631118774,0.554777250253842,44,764,,,
,,,45,764,0.38379323582438374,0.9154444932937622,0.6840643882751465
0.5404092073440552,0.8447644710540771,0.5773409137176368,45,781,,,
,,,46,781,0.3747779551961226,0.9197865128517151,0.6931890249252319
0.5552887916564941,0.849950909614563,0.5764184682759717,46,798,,,
,,,47,798,0.3670858412399419,0.9227268099784851,0.7008037567138672
0.4744059145450592,0.8314847946166992,0.5804012953490738,47,815,,,
,,,48,815,0.3645601303411329,0.9248192310333252,0.6973223686218262
0.5228830575942993,0.842237114906311,0.580002698499344,48,832,,,
,,,49,832,0.362692021930321,0.9245012998580933,0.7046595811843872
0.5204695463180542,0.8391379117965698,0.5872691407149,49,849,,,
,,,50,849,0.362504039419434,0.9248505234718323,0.7065205574035645
