val_ap,val_auroc,val_loss,epoch,step,train_loss,train_auroc,train_ap
0.14188288152217865,0.49257710576057434,0.7081006785604352,0,16,,,
,,,1,16,0.7393281492151945,0.49482131004333496,0.13750916719436646
0.1639285683631897,0.5388474464416504,0.7018953544184493,1,33,,,
,,,2,33,0.7272746716440782,0.5157537460327148,0.14702622592449188
0.2091909945011139,0.611214280128479,0.6811306394619772,2,50,,,
,,,3,50,0.7123919354628079,0.5429065227508545,0.1600833535194397
0.24547696113586426,0.6635969877243042,0.6637482760915934,3,67,,,
,,,4,67,0.6851586943084947,0.5980969667434692,0.19632259011268616
0.2963905930519104,0.7067074179649353,0.6397392454782366,4,84,,,
,,,5,84,0.6671294384498286,0.6424877047538757,0.22817564010620117
0.32131457328796387,0.7306129932403564,0.6125411580357119,5,101,,,
,,,6,101,0.6378601671815249,0.6884588003158569,0.2582651674747467
0.3621726930141449,0.7566132545471191,0.5906010476481138,6,118,,,
,,,7,118,0.6315239113363454,0.704825758934021,0.2876092195510864
0.35878515243530273,0.7646256685256958,0.5866565763475784,7,135,,,
,,,8,135,0.5980950290075898,0.7517637014389038,0.3302820920944214
0.3797193169593811,0.778613805770874,0.5778534901469952,8,152,,,
,,,9,152,0.5831411478958168,0.7671200037002563,0.33649197220802307
0.42490583658218384,0.8016136288642883,0.5518811227410388,9,169,,,
,,,10,169,0.5608606694509093,0.7924901247024536,0.38138988614082336
0.43961572647094727,0.8140382170677185,0.541825960957754,10,186,,,
,,,11,186,0.5431961009757482,0.811943769454956,0.4051947295665741
0.47858569025993347,0.8274976015090942,0.5179676067381722,11,203,,,
,,,12,203,0.5251023600807735,0.8290597200393677,0.4495283365249634
0.48622822761535645,0.8294987678527832,0.5278740071017851,12,220,,,
,,,13,220,0.5111573141477345,0.8437150716781616,0.48085910081863403
0.49970871210098267,0.8347181081771851,0.5223531723151719,13,237,,,
,,,14,237,0.5017595586153609,0.8492143154144287,0.49962934851646423
0.5055797696113586,0.8375086188316345,0.5463177759974823,14,254,,,
,,,15,254,0.49638380366315976,0.8538000583648682,0.5116766095161438
0.5021002292633057,0.8399019241333008,0.5151315985352333,15,271,,,
,,,16,271,0.49267077260255676,0.8572654724121094,0.5139163136482239
0.5024769902229309,0.8316820859909058,0.530278956610064,16,288,,,
,,,17,288,0.49207101436398837,0.8560733795166016,0.5146247744560242
0.4990388751029968,0.8387861847877502,0.5128524408965273,17,305,,,
,,,18,305,0.48543748385567687,0.8622919321060181,0.5293583273887634
0.5162267684936523,0.8460041880607605,0.5283405137025114,18,322,,,
,,,19,322,0.4889706442019287,0.856403648853302,0.5190792679786682
0.5181664824485779,0.841227650642395,0.5175004169773713,19,339,,,
,,,20,339,0.4762711797107508,0.8678364157676697,0.5282503962516785
0.5284275412559509,0.8430162668228149,0.5107171986491051,20,356,,,
,,,21,356,0.481865428120296,0.862894594669342,0.527959942817688
0.5324747562408447,0.8496118783950806,0.507103074195661,21,373,,,
,,,22,373,0.4802938878604138,0.8619072437286377,0.5386186838150024
0.5225216150283813,0.8464722633361816,0.49645791908278336,22,390,,,
,,,23,390,0.4767570019902093,0.8656649589538574,0.5396285057067871
0.527338981628418,0.8468011617660522,0.5006090649167024,23,407,,,
,,,24,407,0.4741678046991667,0.8648544549942017,0.5423603057861328
0.5098273754119873,0.8408835530281067,0.5458529843165844,24,424,,,
,,,25,424,0.4711327169912452,0.8669843077659607,0.5533601641654968
0.5401407480239868,0.8472439050674438,0.5018097131570344,25,441,,,
,,,26,441,0.4624007385916171,0.8709248304367065,0.543953001499176
0.5323554277420044,0.8478257656097412,0.5031277203423508,26,458,,,
,,,27,458,0.4633826236113319,0.8704907894134521,0.5594562292098999
0.5461130142211914,0.8531664609909058,0.5199136080052364,27,475,,,
,,,28,475,0.4624791272417625,0.8731822371482849,0.5460209846496582
0.5391368865966797,0.8424091339111328,0.5620664963667977,28,492,,,
,,,29,492,0.4582491447549489,0.8736745119094849,0.5494661927223206
0.5416440963745117,0.8521873950958252,0.5031871951492575,29,509,,,
,,,30,509,0.45435808491107527,0.8770043849945068,0.5726348161697388
0.531140148639679,0.8506365418434143,0.5234938200714926,30,526,,,
,,,31,526,0.4544531760701417,0.8750780820846558,0.5656768083572388
